BNR15;LOM;GEB_DATR;RASSE;GESCHL_R;SYS_VON;SYS_BIS
276090000000001;276000912300525;12.11.2015;2;2;11.08.2016/09.47.16.094213;31.12.2100/00.00.00.000000
276090000000001;276000910000002;02.06.2005;1;2;11.10.2005/14.06.24.051558;31.12.2100/00.00.00.000000
276090000000001;276000916599999;12.12.2016;4;2;12.12.2016/12.59.44.254745;31.12.2100/00.00.00.000000
276090000000001;276000912209951;11.01.2006;1;2;11.01.2006/10.59.13.802159;31.12.2100/00.00.00.000000
276090000000001;276000916566385;01.08.2015;1;1;02.09.2015/09.50.04.805827;31.12.2100/00.00.00.000000
276090000000001;276000940000001;28.02.2007;87;1;08.03.2007/15.13.15.571332;31.12.2100/00.00.00.000000
276090000000001;276000940000002;01.03.2007;1;1;26.03.2007/12.16.41.858538;31.12.2100/00.00.00.000000
276090000000001;276000940000004;01.03.2007;1;1;26.03.2007/12.58.08.918800;31.12.2100/00.00.00.000000
276090000000001;276000940000009;11.08.2008;1;2;12.08.2008/13.50.05.043263;31.12.2100/00.00.00.000000
276090000000001;276000913114666;11.10.2015;1;2;09.11.2015/10.51.58.461237;31.12.2100/00.00.00.000000
276090000000001;276000940000003;01.03.2007;1;1;19.02.2015/17.56.26.411090;31.12.2100/00.00.00.000000
276090000000001;276000910000001;03.06.2005;1;2;16.07.2014/14.18.10.316101;31.12.2100/00.00.00.000000
276090000000001;276000940001234;26.02.2009;1;1;06.05.2010/13.36.16.436321;31.12.2100/00.00.00.000000
276090000000001;276000986966200;16.12.2011;1;1;01.09.2014/09.17.12.778374;31.12.2100/00.00.00.000000
276090000000001;276000936012345;15.06.2009;1;2;30.09.2009/17.18.18.585012;31.12.2100/00.00.00.000000
276090000000001;276000936012346;15.06.2009;1;2;30.09.2009/17.18.19.156063;31.12.2100/00.00.00.000000
276090000000001;276000913104008;15.06.2015;1;1;17.06.2015/14.37.15.848120;31.12.2100/00.00.00.000000
276090000000001;276000912300512;01.08.2004;1;2;27.01.2016/14.51.12.731869;31.12.2100/00.00.00.000000
276090000000001;276000932715941;04.02.2005;11;2;07.04.2005/09.47.32.192874;31.12.2100/00.00.00.000000
276090000000001;276000912400002;20.05.2005;2;1;24.05.2005/15.11.39.412339;31.12.2100/00.00.00.000000
276090000000001;276000912300510;01.08.2004;1;2;27.08.2004/11.10.01.317710;31.12.2100/00.00.00.000000
276090000000001;276000912300509;01.08.2004;1;2;27.08.2004/11.09.47.697659;31.12.2100/00.00.00.000000
276090000000001;276000912300508;01.08.2004;1;2;27.08.2004/11.09.19.170328;31.12.2100/00.00.00.000000
276090000000001;276000912300514;01.08.2002;1;2;27.08.2004/12.07.23.114563;31.12.2100/00.00.00.000000
276090000000001;276000912300515;01.08.2002;1;2;27.08.2004/12.09.35.555053;31.12.2100/00.00.00.000000
276090000000001;276000912300516;01.08.2002;1;2;27.08.2004/12.09.41.731057;31.12.2100/00.00.00.000000
276090000000001;276000971436892;05.05.2004;1;2;03.01.2005/14.50.34.194293;31.12.2100/00.00.00.000000
276090000000001;276000936012348;17.02.2012;4;1;27.08.2014/12.51.48.782249;31.12.2100/00.00.00.000000
276090000000001;276000936012349;27.01.2011;4;2;17.02.2012/14.38.12.088668;31.12.2100/00.00.00.000000
276090000000001;276000925600004;14.02.2014;13;2;31.10.2018/16.13.26.521788;31.12.2100/00.00.00.000000
