BNR15;LOM;ZUGA_DAT
276090000000001;276000988800001;17.05.2019
276090000000001;276000988800001;21.05.2019
276090000000001;276000912209951;21.05.2019
276090000000001;276000912345677;08.04.2019
276090000000001;276000347805382;01.05.2019
276090000000001;276000100000230;03.07.2015
276090000000001;276000100000232;03.08.2015
276090000000001;276000116566375;04.07.2015
276090000000001;276000116566377;04.07.2015
276090000000001;276000116566378;02.06.2015
276090000000001;276000116566380;04.07.2015
276090000000001;276000116566381;04.07.2015
276090000000001;276000116566382;04.07.2015
276090000000001;276000116566383;04.07.2015
276090000000001;276000116566384;04.07.2015
276090000000001;276000116566386;04.07.2015
276090000000001;276000347805383;17.05.2005
276090000000001;276000347805383;01.12.2010
276090000000001;276000500101616;01.01.2010
276090000000001;276000347805385;18.05.2005
276090000000001;276000347805385;01.12.2010
276090000000001;276000347805385;17.06.2016
276090000000001;276000347805387;18.05.2005
276090000000001;276000347805389;30.03.2005
276090000000001;276000347805401;31.05.2004
276090000000001;276000348445005;10.05.2005
276090000000001;276000410000222;20.06.2016
276090000000001;276000912345678;05.04.2016
276090000000001;276000910000007;17.06.2016
276090000000001;276000910000900;27.01.2005
276090000000001;276000912201401;17.06.2016
276090000000001;276000912209951;01.01.2010
276090000000001;276000912209951;14.12.2010
276090000000001;276000912209951;07.02.2011
276090000000001;276000912209951;01.01.2012
276090000000001;276000912209951;02.01.2012
276090000000001;276000912300007;09.08.2004
276090000000001;276000912300008;09.08.2004
276090000000001;276000912300012;21.04.2004
276090000000001;276000912300016;09.08.2004
276090000000001;276000912300017;09.08.2004
276090000000001;276000912300056;17.02.2005
276090000000001;276000912300100;25.04.2014
276090000000001;276000912300444;20.06.2016
276090000000001;276000912300505;29.04.2005
276090000000001;276000912300508;15.08.2004
276090000000001;276000912300509;15.08.2004
276090000000001;276000912300522;20.06.2016
276090000000001;276000912300600;01.01.2005
276090000000001;276000912300600;01.01.2012
276090000000001;276000912345677;01.01.2010
276090000000001;276000912345678;05.07.2006
276090000000001;276000912345678;01.11.2010
276090000000001;276000912345678;18.11.2010
276090000000001;276000912345679;01.01.2010
276090000000001;276000912347773;16.06.2016
276090000000001;276000913104008;05.07.2015
276090000000001;276000913114002;16.09.2014
276090000000001;276000913114003;16.09.2014
276090000000001;276000936012346;17.06.2016
276090000000001;276000912300100;17.06.2016
276090000000001;276000912300518;29.06.2016
276090000000001;276000912300513;29.06.2016
276090000000001;276000932345675;16.01.2005
276090000000001;276000932345676;21.09.2000
276090000000001;276000932345678;21.09.2000
276090000000001;276000932345678;02.04.2013
276090000000001;276000932345679;21.09.2000
276090000000001;276000936012345;22.11.2010
276090000000001;276000980000020;20.06.2016
276090000000001;276000980000888;29.11.2004
276090000000001;276000980000998;01.10.2004
276090000000001;276000988877774;06.07.2005
276090000000001;276000988877774;07.07.2005
276090000000001;276001300032165;07.10.2004
276090000000001;40000996247511;29.04.2005
